
injection: 160, rbf_PE_time: 1.90 minutes, sim_time: 4.62 minutes
injection: 161, rbf_PE_time: 1.52 minutes, sim_time: 4.45 minutes
injection: 162, rbf_PE_time: 1.77 minutes, sim_time: 4.30 minutes
injection: 163, rbf_PE_time: 1.72 minutes, sim_time: 4.68 minutes
injection: 164, rbf_PE_time: 2.10 minutes, sim_time: 5.12 minutes
injection: 165, rbf_PE_time: 2.10 minutes, sim_time: 4.80 minutes
injection: 166, rbf_PE_time: 1.75 minutes, sim_time: 4.52 minutes
injection: 167, rbf_PE_time: 1.69 minutes, sim_time: 8.14 minutes
injection: 168, rbf_PE_time: 2.01 minutes, sim_time: 5.50 minutes
injection: 169, rbf_PE_time: 1.77 minutes, sim_time: 4.69 minutes
injection: 170, rbf_PE_time: 1.70 minutes, sim_time: 3.95 minutes
injection: 171, rbf_PE_time: 1.73 minutes, sim_time: 4.41 minutes
injection: 172, rbf_PE_time: 1.73 minutes, sim_time: 4.24 minutes
injection: 173, rbf_PE_time: 2.02 minutes, sim_time: 4.42 minutes
injection: 174, rbf_PE_time: 1.59 minutes, sim_time: 3.87 minutes
injection: 175, rbf_PE_time: 1.89 minutes, sim_time: 4.56 minutes
injection: 176, rbf_PE_time: 1.64 minutes, sim_time: 4.11 minutes
injection: 177, rbf_PE_time: 1.90 minutes, sim_time: 4.34 minutes
injection: 178, rbf_PE_time: 1.78 minutes, sim_time: 4.48 minutes
injection: 179, rbf_PE_time: 1.81 minutes, sim_time: 4.33 minutes
injection: 180, rbf_PE_time: 1.72 minutes, sim_time: 4.09 minutes
injection: 181, rbf_PE_time: 1.59 minutes, sim_time: 3.87 minutes
injection: 182, rbf_PE_time: 1.70 minutes, sim_time: 4.32 minutes
injection: 183, rbf_PE_time: 2.24 minutes, sim_time: 4.85 minutes
injection: 184, rbf_PE_time: 1.88 minutes, sim_time: 4.28 minutes
injection: 185, rbf_PE_time: 2.38 minutes, sim_time: 4.98 minutes
injection: 186, rbf_PE_time: 1.61 minutes, sim_time: 4.09 minutes
injection: 187, rbf_PE_time: 2.03 minutes, sim_time: 4.35 minutes
injection: 188, rbf_PE_time: 2.03 minutes, sim_time: 4.33 minutes
injection: 189, rbf_PE_time: 1.92 minutes, sim_time: 4.61 minutes
injection: 190, rbf_PE_time: 2.19 minutes, sim_time: 4.80 minutes
injection: 191, rbf_PE_time: 1.78 minutes, sim_time: 4.28 minutes
injection: 192, rbf_PE_time: 1.72 minutes, sim_time: 4.30 minutes
injection: 193, rbf_PE_time: 1.61 minutes, sim_time: 4.10 minutes
injection: 194, rbf_PE_time: 1.82 minutes, sim_time: 4.26 minutes
injection: 195, rbf_PE_time: 1.72 minutes, sim_time: 4.06 minutes
injection: 196, rbf_PE_time: 1.64 minutes, sim_time: 4.37 minutes
injection: 197, rbf_PE_time: 1.62 minutes, sim_time: 4.41 minutes
injection: 198, rbf_PE_time: 1.97 minutes, sim_time: 4.59 minutes
injection: 199, rbf_PE_time: 1.77 minutes, sim_time: 4.03 minutes
injection: 200, rbf_PE_time: 1.84 minutes, sim_time: 4.47 minutes
